dam_id,utme,utmn,name,condition,status,focusarea,comments,reference,long,lat
67,608953,4989959,unnamed,suspect,,Crawford Lake,7 suspect sites,,-67.616299,45.054708
68,609029,4994586,Huntley Brook,suspect,,Crawford Lake,,Wells 1869,-67.614328,45.096335
69,609624,4988157,unnamed,suspect,,Crawford Lake,6 suspect sites,,-67.608173,45.038387
70,610100,4987496,unnamed,suspect,,Crawford Lake,5 suspect sites,,-67.602276,45.032365
71,610183,4983820,Barstow Dam,historic,,East Machias River-Round Lake,,Wells 1869,-67.602028,44.999271
72,610185,5002353,unnamed,suspect,,Crawford Lake,7 suspect sites,,-67.597928,45.166051
73,610476,4986902,unnamed,suspect,,Crawford Lake,4 suspect sites,Wells 1869,-67.597635,45.026961
74,610799,5001000,unnamed,suspect,,Crawford Lake,5 suspect sites,,-67.590418,45.153779
75,610949,5002037,unnamed,suspect,,Crawford Lake,6 suspect sites,,-67.58828,45.163088
76,611005,5000363,unnamed,suspect,,Crawford Lake,4 suspect sites,Wells 1869,-67.58794,45.148015
77,611327,4986074,Pokey Dam,modern,,Crawford Lake,"A modern, working dam.",Wells 1869,-67.587019,45.019377
78,616777,4953377,Whitneyville,historic,completed,Lower Machias River,Removed in 1973.,,-67.525403,44.724256
79,617293,4985640,Barrows Stream,remnant,,Barrows Lake-Northern Stream,,Wells 1869,-67.511423,45.014509
80,617604,4986300,Barrows Lake outlet,remnant,,Barrows Lake-Northern Stream,,,-67.507324,45.020397
81,619909,4951820,Machias,historic,completed,Lower Machias River,Removed sometime in the 50's or 60's/,Wells 1869,-67.486233,44.709726
82,597100,4978861,Groves Dam,historic,completed,Old Stream,,,-67.768936,44.956552
83,565727,4980221,unnamed,suspect,,Beddington Lake,,Narraguas LiDAR,-68.166463,44.972388
84,567365,4978998,unnamed,suspect,,Beddington Lake,,Narraguas LiDAR,-68.145856,44.961227
85,568033,4978724,unnamed,suspect,,Beddington Lake,,Narraguas LiDAR,-68.137424,44.958697
86,568128,4978092,unnamed,suspect,,Beddington Lake,,Narraguas LiDAR,-68.136305,44.952999
87,569853,4976881,unnamed,suspect,,Beddington Lake,Remnant structures visible.,,-68.114607,44.941931
88,570444,4978413,35 Pond dam,remnant,scheduled,Beddington Lake,Was likely a mill site.,,-68.106903,44.955662
89,569829,4979175,unnamed,suspect,,Beddington Lake,,Narraguas LiDAR,-68.114593,44.962582
90,569252,4980932,unnamed,suspect,,Beddington Lake,,,-68.121667,44.978453
91,569329,4982485,Deer Lake outlet,historic,,Beddington Lake,,,-68.120477,44.992424
92,565193,4981166,unnamed,suspect,,Beddington Lake,,Narraguas LiDAR,-68.173112,44.980943
93,571569,4979481,unnamed,suspect,,Beddington Lake,,Narraguas LiDAR,-68.09249,44.965163
94,570124,4974950,unnamed,suspect,,Beddington Lake,,Narraguas LiDAR,-68.11144,44.924524
95,570385,4974314,unnamed,suspect,,Beddington Lake,,Narraguas LiDAR,-68.108222,44.918773
96,616609,4981337,unnamed,suspect,,Barrows Lake-Northern Stream,,,-67.521098,44.9759
97,617255,4978192,Northern Stream,remnant,scheduled,Barrows Lake-Northern Stream,Cribwork evident.,,-67.513639,44.947492
98,619574,4976040,unnamed,suspect,,Barrows Lake-Northern Stream,,,-67.484762,44.92774
99,618722,4982518,Creamer Brook,remnant,scheduled,,Cribwork evident.,,-67.49403,44.986177
100,604973,4983656,Beaver Dam Brook,remnant,scheduled,,Cribwork evident.,,-67.668147,44.998585
101,589145,4991940,Thompson Brook,remnant,scheduled,,,,-67.867453,45.075307
103,583597,4982935,Ingles Brook,remnant,complete,,,,-67.939424,44.994937
104,583000,4983600,Ingles Brook,remnant,,,,,-67.946887,45.000992
105,572771,4977863,35 Stream,remnant,scheduled,Beddington Lake,,,-68.077484,44.950477
106,572560,4978012,35 Stream,remnant,scheduled,Beddington Lake,,,-68.080137,44.95184
107,572530,4977942,35 Stream,remnant,scheduled,Beddington Lake,,,-68.080527,44.951213
108,573929,4976395,35 Stream,remnant,scheduled,Beddington Lake,,,-68.063021,44.937145
109,569855,4976893,Barrel Brook confluence,remnant,completed,Beddington Lake,,,-68.11458,44.942039
110,569045,4977634,Barrel Brook,remnant,completed,Beddington Lake,,,-68.124744,44.948788
111,568129,4978101,Barrel Brook,remnant,scheduled,Beddington Lake,Hidden under significant beaver debris.,,-68.136291,44.95308
112,583946,4991901,Fletcher,remnant,scheduled,Third Machias Lake-First Machias Lake,,,-67.933499,45.075592
113,603208,4963706,Holmes Brook,remnant,scheduled,,,,-67.694606,44.8193
114,603569,4963543,Holmes Brook,remnant,scheduled,,,,-67.690074,44.81778
115,585201,4990215,Fletcher Brook,historic,completed,third Machias Lake-First Machias Lake,Rock crib and berms evident.,,-67.917844,45.060268
116,589903,4971861,Crooked River,remnant,,Crooked River,Rock crib evident.,,-67.861408,44.894497
117,593908,4981757,Bowles Brook,remnant,completed,old Stream,,,-67.808857,44.983045
118,593673,4984494,Dead Stream,remnant,completed,Old Stream,Cribwork visible.,,-67.811328,45.007709
119,589100,4982954,Kerwin Brook,remnant,completed,,At the location of an old mill site.,,-67.869618,44.994438
